qpid	desc
ZLC01G0000740	ceramide metabolic process
ZLC01G0000740	sphingolipid biosynthetic process
ZLC01G0000750	regulation of DNA-templated transcription
ZLC01G0000760	methylation
ZLC01G0000760	cellular process
ZLC01G0000770	green leaf volatile biosynthetic process
ZLC01G0000770	regulation of DNA-templated transcription
ZLC01G0000780	translation
ZLC01G0000780	methylation
ZLC01G0000800	trehalose catabolic process
ZLC01G0000800	cellular process
ZLC01G0000810	trehalose catabolic process
ZLC01G0000810	cellular process
ZLC01G0000820	defense response to bacterium
ZLC01G0000830	GPI anchor biosynthetic process
ZLC01G0000840	NAD biosynthetic process
ZLC01G0000850	protein folding
ZLC01G0000850	ERAD pathway
ZLC01G0000850	endoplasmic reticulum unfolded protein response
ZLC01G0000860	polysaccharide catabolic process
ZLC01G0000860	cellular process
ZLC01G0000900	regulation of DNA-templated transcription
ZLC01G0000920	RNA catabolic process
ZLC01G0000920	cellular process
ZLC01G0000970	polysaccharide catabolic process
ZLC01G0000970	cellular process
ZLC01G0001000	protein transport
ZLC01G0001000	thylakoid membrane organization
ZLC01G0001000	protein localization to chloroplast
ZLC01G0001000	chloroplast organization
ZLC01G0001000	SRP-dependent cotranslational protein targeting to membrane
ZLC01G0001000	intracellular transport
ZLC01G0001000	transmembrane transport
ZLC01G0001010	protein transport
ZLC01G0001010	thylakoid membrane organization
ZLC01G0001010	protein localization to chloroplast
ZLC01G0001010	chloroplast organization
ZLC01G0001010	SRP-dependent cotranslational protein targeting to membrane
ZLC01G0001010	intracellular transport
ZLC01G0001010	transmembrane transport
ZLC01G0001020	carbohydrate transmembrane transport
ZLC01G0001050	mitochondrial pyruvate transmembrane transport
ZLC01G0001050	regulation of stomatal movement
ZLC01G0001070	RNA catabolic process
ZLC01G0001070	cellular process
ZLC01G0001100	regulation of DNA-templated transcription
ZLC01G0001110	regulation of DNA-templated transcription
ZLC01G0001120	SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition
ZLC01G0001130	translational initiation
ZLC01G0001140	double-strand break repair
ZLC01G0001150	trichome morphogenesis
ZLC01G0001150	root development
ZLC01G0001160	proteasome-mediated ubiquitin-dependent protein catabolic process
ZLC01G0001160	cellular process
ZLC01G0001180	translation
ZLC01G0001190	protein ubiquitination
ZLC01G0001190	ubiquitin-dependent protein catabolic process
ZLC01G0001190	cellular process
ZLC01G0001200	cellulose biosynthetic process
ZLC01G0001200	cell wall organization
ZLC01G0001200	plant-type primary cell wall biogenesis
ZLC01G0001220	cellulose biosynthetic process
ZLC01G0001220	cell wall organization
ZLC01G0001220	plant-type primary cell wall biogenesis
ZLC01G0001230	cellulose biosynthetic process
ZLC01G0001230	cell wall organization
ZLC01G0001230	plant-type primary cell wall biogenesis
ZLC01G0001240	auxin-activated signaling pathway
ZLC01G0001240	regulation of DNA-templated transcription
ZLC01G0001250	fatty acid biosynthetic process
ZLC01G0001260	fatty acid biosynthetic process
ZLC01G0001270	fatty acid biosynthetic process
ZLC01G0001280	response to endoplasmic reticulum stress
ZLC01G0001290	actin filament bundle assembly
ZLC01G0001300	positive regulation of transcription initiation by RNA polymerase II
ZLC01G0001340	protein folding in endoplasmic reticulum
ZLC01G0001350	protein import into chloroplast stroma
ZLC01G0001350	proteolysis
ZLC01G0001350	chloroplast fission
ZLC01G0001350	embryo development ending in seed dormancy
ZLC01G0001350	cell division
ZLC01G0001390	glycerol metabolic process
ZLC01G0001390	lipid metabolic process
ZLC01G0001390	cellular process
ZLC01G0001430	cytokinin metabolic process
ZLC01G0001430	alkaloid metabolic process
ZLC01G0001430	cellular process
ZLC01G0001430	hormone catabolic process
ZLC01G0001540	lipid metabolic process
ZLC01G0001540	cellular process
ZLC01G0001550	galactose metabolic process
ZLC01G0001550	cellular process
ZLC01G0001570	UTP biosynthetic process
ZLC01G0001570	GTP biosynthetic process
ZLC01G0001570	CTP biosynthetic process
ZLC01G0001590	photosynthetic electron transport chain
ZLC01G0001660	DNA-templated transcription termination
ZLC01G0001660	regulation of DNA-templated transcription
ZLC01G0001660	aspartyl-tRNA aminoacylation
ZLC01G0001690	triglyceride biosynthetic process
ZLC01G0001690	phospholipid biosynthetic process
ZLC01G0001730	protein insertion into mitochondrial inner membrane from matrix
ZLC01G0001740	long-chain fatty acid metabolic process
ZLC01G0001740	phenylpropanoid metabolic process
ZLC01G0001750	defense response to other organism
ZLC01G0001750	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process
ZLC01G0001750	cellular process
ZLC01G0001760	chromatin remodeling
ZLC01G0001760	regulation of signal transduction
ZLC01G0001760	regulation of transcription by RNA polymerase II
ZLC01G0001760	positive regulation of seed germination
ZLC01G0001760	negative regulation of response to alcohol
ZLC01G0001760	regulation of cellular response to alcohol
ZLC01G0001760	negative regulation of cell communication
ZLC01G0001760	negative regulation of signaling
ZLC01G0001770	cellulose catabolic process
ZLC01G0001770	cellular process
ZLC01G0001790	ethylene-activated signaling pathway
ZLC01G0001790	regulation of DNA-templated transcription
ZLC01G0001790	defense response
ZLC01G0001800	DNA replication, synthesis of primer
ZLC01G0001830	abscisic acid-activated signaling pathway
ZLC01G0001850	carbohydrate metabolic process
ZLC01G0001850	cellular process
ZLC01G0001860	chromatin remodeling
ZLC01G0001920	regulation of DNA-templated transcription
ZLC01G0001930	positive regulation of TORC1 signaling
ZLC01G0001930	cellular response to amino acid starvation
ZLC01G0001930	protein transport
ZLC01G0001950	proteasome-mediated ubiquitin-dependent protein catabolic process
ZLC01G0001950	cellular process
ZLC01G0001960	amino acid transport
ZLC01G0001960	auxin-activated signaling pathway
ZLC01G0001960	transmembrane transport
ZLC01G0001960	carboxylic acid transport
ZLC01G0001960	nitrogen compound transport
ZLC01G0001990	regulation of defense response to fungus
ZLC01G0002000	DNA-templated transcription termination
ZLC01G0002000	regulation of DNA-templated transcription
ZLC01G0002030	RNA modification
ZLC01G0002030	cellular process
ZLC01G0002030	lipid transport
ZLC01G0002030	regulation of transcription by RNA polymerase II
ZLC01G0002040	transmembrane transport
ZLC01G0002040	organophosphate ester transport
ZLC01G0002040	organic anion transport
ZLC01G0002040	organic cation transport
ZLC01G0002040	carbohydrate derivative transport
ZLC01G0002040	nucleobase-containing compound transport
ZLC01G0002040	aerobic respiration
ZLC01G0002050	cytoskeleton organization
ZLC01G0002070	photomorphogenesis
ZLC01G0002080	signal transduction
ZLC01G0002080	chromatin remodeling
ZLC01G0002110	regulation of DNA-templated transcription
ZLC01G0002110	defense response
ZLC01G0002110	ethylene-activated signaling pathway
ZLC01G0002120	ubiquitin-dependent protein catabolic process
ZLC01G0002120	protein polyubiquitination
ZLC01G0002120	cellular process
ZLC01G0002130	defense response to fungus
ZLC01G0002130	chromatin remodeling
ZLC01G0002130	protein glycosylation
ZLC01G0002140	carbohydrate metabolic process
ZLC01G0002140	cellular process
ZLC01G0002150	defense response
ZLC01G0002160	defense response
ZLC01G0002160	response to other organism
ZLC01G0002160	programmed cell death
ZLC01G0002160	immune response
ZLC01G0002160	cellular response to stress
ZLC01G0002170	plant-type hypersensitive response
ZLC01G0002180	regulation of mitotic spindle organization
ZLC01G0002180	mitotic spindle assembly
ZLC01G0002230	cellular oxidant detoxification
ZLC01G0002230	defense response by callose deposition
ZLC01G0002230	respiratory burst involved in defense response
ZLC01G0002230	hydrogen peroxide biosynthetic process
ZLC01G0002230	regulation of stomatal movement
ZLC01G0002230	osmosensory signaling pathway
ZLC01G0002230	response to ethylene
ZLC01G0002230	carbohydrate homeostasis
ZLC01G0002230	negative regulation of programmed cell death
ZLC01G0002250	defense response to other organism
ZLC01G0002280	CAAX-box protein processing
ZLC01G0002280	photosynthetic acclimation
ZLC01G0002290	polysaccharide catabolic process
ZLC01G0002290	cellular process
ZLC01G0002300	polysaccharide catabolic process
ZLC01G0002300	cellular process
ZLC01G0002310	response to bacterium
ZLC01G0002310	endoplasmic reticulum tubular network organization
ZLC01G0002320	CAAX-box protein processing
ZLC01G0002320	pollen sperm cell differentiation
ZLC01G0002320	cell division
ZLC01G0002340	Golgi calcium ion homeostasis
ZLC01G0002340	Golgi calcium ion transport
ZLC01G0002340	manganese ion transmembrane transport
ZLC01G0002340	calcium ion transmembrane transport
ZLC01G0002350	phenylpropanoid biosynthetic process
ZLC01G0002350	cellular process
ZLC01G0002360	phenylpropanoid biosynthetic process
ZLC01G0002360	cellular process
ZLC01G0002360	metal ion transport
ZLC01G0002370	phenylpropanoid biosynthetic process
ZLC01G0002370	(-)-pinoresinol metabolic process
ZLC01G0002370	ether biosynthetic process
ZLC01G0002370	cellular process
ZLC01G0002370	phenol-containing compound biosynthetic process
ZLC01G0002380	regulation of pH
ZLC01G0002380	potassium ion transport
ZLC01G0002380	proton transmembrane transport
ZLC01G0002390	regulation of pH
ZLC01G0002390	potassium ion transport
ZLC01G0002390	proton transmembrane transport
ZLC01G0002410	response to red light
ZLC01G0002440	transmembrane transport
ZLC01G0002450	proton transmembrane transport
ZLC01G0002460	translational initiation
ZLC01G0002460	proton transmembrane transport
ZLC01G0002460	translational elongation
ZLC01G0002470	protein glycosylation
ZLC01G0002490	ethylene-activated signaling pathway
ZLC01G0002490	defense response
ZLC01G0002490	regulation of DNA-templated transcription
ZLC01G0002540	regulation of DNA-templated transcription
ZLC01G0002550	cellulose catabolic process
ZLC01G0002550	cellular process
ZLC01G0002560	regulation of DNA-templated transcription
ZLC01G0002560	defense response
ZLC01G0002570	translation
ZLC01G0002590	meiotic DNA double-strand break processing
ZLC01G0002590	meiotic DNA double-strand break formation
ZLC01G0002590	reciprocal homologous recombination
ZLC01G0002590	meiosis I
ZLC01G0002590	embryo sac development
ZLC01G0002590	pollen development
ZLC01G0002590	seed development
ZLC01G0002590	meiotic chromosome segregation
ZLC01G0002590	chromosome organization involved in meiotic cell cycle
ZLC01G0002590	cellular component assembly
ZLC01G0002610	regulation of ribosome biogenesis
ZLC01G0002610	regulation of cell population proliferation
ZLC01G0002620	terpenoid biosynthetic process
ZLC01G0002620	isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway
ZLC01G0002630	1-aminocyclopropane-1-carboxylate biosynthetic process
ZLC01G0002630	fruit ripening
ZLC01G0002630	alkene biosynthetic process
ZLC01G0002630	ethylene metabolic process
ZLC01G0002630	phloem or xylem histogenesis
ZLC01G0002630	response to jasmonic acid
ZLC01G0002630	response to mechanical stimulus
ZLC01G0002630	response to auxin
ZLC01G0002630	response to wounding
ZLC01G0002630	response to oxidative stress
ZLC01G0002630	cell division
ZLC01G0002640	1-aminocyclopropane-1-carboxylate biosynthetic process
ZLC01G0002640	alkene biosynthetic process
ZLC01G0002640	ethylene metabolic process
ZLC01G0002640	fruit ripening
ZLC01G0002640	phloem or xylem histogenesis
ZLC01G0002640	response to jasmonic acid
ZLC01G0002640	response to mechanical stimulus
ZLC01G0002640	response to auxin
ZLC01G0002640	response to wounding
ZLC01G0002640	response to oxidative stress
ZLC01G0002640	cell division
ZLC01G0002650	response to cold
ZLC01G0002680	oxylipin biosynthetic process
ZLC01G0002680	lipid oxidation
ZLC01G0002680	fatty acid biosynthetic process
ZLC01G0002680	photosynthesis
ZLC01G0002690	oxylipin biosynthetic process
ZLC01G0002690	lipid oxidation
ZLC01G0002690	fatty acid biosynthetic process
ZLC01G0002690	photosynthesis
ZLC01G0002710	'de novo' pyrimidine nucleobase biosynthetic process
ZLC01G0002710	pyrimidine nucleotide biosynthetic process
ZLC01G0002710	UMP metabolic process
ZLC01G0002710	pyrimidine ribonucleoside monophosphate biosynthetic process
ZLC01G0002710	ribonucleotide biosynthetic process
ZLC01G0002710	amino acid metabolic process
ZLC01G0002710	carboxylic acid metabolic process
ZLC01G0002710	heme a metabolic process
ZLC01G0002710	heme biosynthetic process
ZLC01G0002730	green leaf volatile biosynthetic process
ZLC01G0002730	regulation of DNA-templated transcription
ZLC01G0002760	MAPK cascade
ZLC01G0002760	green leaf volatile biosynthetic process
ZLC01G0002770	carbohydrate metabolic process
ZLC01G0002770	cellular process
ZLC01G0002780	proteolysis
ZLC01G0002780	cellular process
ZLC01G0002790	cortical microtubule organization
ZLC01G0002830	protein import into mitochondrial matrix
ZLC01G0002830	translation
ZLC01G0002850	Golgi vesicle docking
ZLC01G0002850	vesicle fusion with Golgi apparatus
ZLC01G0002850	endoplasmic reticulum to Golgi vesicle-mediated transport
ZLC01G0002850	intracellular protein transport
ZLC01G0002860	regulation of DNA-templated transcription
ZLC01G0002880	protein ubiquitination
ZLC01G0002880	cellular process
ZLC01G0002890	protein ubiquitination
ZLC01G0002890	cellular process
ZLC01G0002910	regulation of flower development
ZLC01G0002910	regulation of DNA-templated transcription
ZLC01G0002920	transcription initiation at RNA polymerase II promoter
ZLC01G0002920	nucleotide-excision repair
ZLC01G0002920	DNA duplex unwinding
ZLC01G0002920	chromatin looping
ZLC01G0002920	chromatin remodeling
ZLC01G0002920	response to UV
ZLC01G0002930	embryo development ending in seed dormancy
ZLC01G0002930	cell division
ZLC01G0002940	intracellular protein transport
ZLC01G0002940	vesicle-mediated transport
ZLC01G0002950	regulation of DNA-templated transcription
ZLC01G0002980	regulation of cell cycle
ZLC01G0002980	positive regulation of transcription by RNA polymerase II
ZLC01G0002990	ubiquitin-dependent protein catabolic process
ZLC01G0002990	protein polyubiquitination
ZLC01G0002990	cellular process
ZLC01G0003000	recombinational repair
ZLC01G0003000	signal transduction
ZLC01G0003010	membrane protein proteolysis
ZLC01G0003010	cellular process
ZLC01G0003020	transmembrane transport
ZLC01G0003020	response to water deprivation
ZLC01G0003020	water transport
ZLC01G0003030	proteolysis
ZLC01G0003030	cellular process
ZLC01G0003070	protein homooligomerization
ZLC01G0003070	monoatomic ion transmembrane transport
ZLC01G0003080	lipid metabolic process
ZLC01G0003080	cellular process
ZLC01G0003080	biosynthetic process
ZLC01G0003080	amide metabolic process
ZLC01G0003080	purine-containing compound metabolic process
ZLC01G0003080	nucleobase-containing small molecule metabolic process
ZLC01G0003090	membrane protein proteolysis
ZLC01G0003090	cellular process
ZLC01G0003100	regulation of cell shape
ZLC01G0003100	cell division
ZLC01G0003100	biosynthetic process
ZLC01G0003100	plastid fission
ZLC01G0003100	chloroplast organization
ZLC01G0003120	GMP biosynthetic process
ZLC01G0003120	glutamine metabolic process
ZLC01G0003130	regulation of primary metabolic process
ZLC01G0003130	regulation of biosynthetic process
ZLC01G0003130	regulation of macromolecule metabolic process
ZLC01G0003130	regulation of cellular process
ZLC01G0003130	plant epidermis development
ZLC01G0003130	cellular response to oxygen-containing compound
ZLC01G0003130	signaling
ZLC01G0003130	cell communication
ZLC01G0003150	microtubule-based movement
ZLC01G0003180	microtubule-based movement
ZLC01G0003210	transmembrane transport
ZLC01G0003210	phosphate ion transport
ZLC01G0003210	DNA integration
ZLC01G0003230	S-adenosyl-L-methionine transmembrane transport
ZLC01G0003240	translational initiation
ZLC01G0003260	DNA-templated transcription
ZLC01G0003260	regulation of DNA-templated transcription
ZLC01G0003260	regulation of photoperiodism, flowering
ZLC01G0003260	negative regulation of gene expression, epigenetic
ZLC01G0003260	negative regulation of RNA biosynthetic process
ZLC01G0003270	DNA-templated transcription
ZLC01G0003270	regulation of photoperiodism, flowering
ZLC01G0003270	negative regulation of transcription elongation by RNA polymerase II
ZLC01G0003270	negative regulation of gene expression, epigenetic
ZLC01G0003270	translational elongation
ZLC01G0003280	RNA processing
ZLC01G0003300	DNA-templated transcription
ZLC01G0003300	regulation of DNA-templated transcription
ZLC01G0003320	riboflavin biosynthetic process
ZLC01G0003320	signal transduction
ZLC01G0003330	mitochondrion organization
ZLC01G0003330	RNA processing
ZLC01G0003360	DNA-templated transcription
ZLC01G0003380	DNA-templated transcription
ZLC01G0003400	glutathione biosynthetic process
ZLC01G0003400	indole phytoalexin biosynthetic process
ZLC01G0003400	defense response by callose deposition in cell wall
ZLC01G0003400	S-glycoside biosynthetic process
ZLC01G0003400	defense response to insect
ZLC01G0003400	response to ozone
ZLC01G0003400	glucosinolate metabolic process
ZLC01G0003400	response to jasmonic acid
ZLC01G0003400	flower development
ZLC01G0003400	response to cadmium ion
ZLC01G0003400	defense response to fungus
ZLC01G0003400	defense response to bacterium
ZLC01G0003400	response to heat
ZLC01G0003410	chromatin remodeling
ZLC01G0003410	regulation of gene expression
ZLC01G0003410	methylation
ZLC01G0003410	regulation of RNA biosynthetic process
ZLC01G0003410	nucleobase-containing compound metabolic process
ZLC01G0003650	response to oxidative stress
ZLC01G0003650	cellular oxidant detoxification
ZLC01G0003650	regulation of root development
ZLC01G0003650	regulation of shoot system development
ZLC01G0003670	monoatomic cation transmembrane transport
ZLC01G0003670	copper ion homeostasis
ZLC01G0003670	copper ion transport
ZLC01G0003670	detoxification of copper ion
ZLC01G0003670	inorganic cation transmembrane transport
ZLC01G0003680	monoatomic cation transmembrane transport
ZLC01G0003680	copper ion homeostasis
ZLC01G0003680	copper ion transport
ZLC01G0003680	inorganic cation transmembrane transport
ZLC01G0003680	detoxification of copper ion
ZLC01G0003700	regulation of DNA-templated transcription
ZLC01G0003700	green leaf volatile biosynthetic process
ZLC01G0003730	coenzyme A biosynthetic process
ZLC01G0003730	protein homotrimerization
ZLC01G0003730	regulation of cell growth
ZLC01G0003730	response to salt stress
ZLC01G0003740	protein glycosylation
ZLC01G0003740	root hair elongation
ZLC01G0003740	response to oxidative stress
ZLC01G0003740	cellular oxidant detoxification
ZLC01G0003740	polysaccharide biosynthetic process
ZLC01G0003740	cell wall biogenesis
ZLC01G0003760	ribosome biogenesis
ZLC01G0003760	chromatin remodeling
ZLC01G0003760	RNA-templated DNA biosynthetic process
ZLC01G0003800	protein N-linked glycosylation
ZLC01G0003800	oligosaccharide metabolic process
ZLC01G0003830	defense response to fungus
ZLC01G0003880	intein-mediated protein splicing
ZLC01G0003890	translational initiation
ZLC01G0003970	actin filament bundle assembly
ZLC01G0003980	auxin-activated signaling pathway
ZLC01G0004040	proteolysis
ZLC01G0004040	cellular process
ZLC01G0004080	chromatin remodeling
ZLC01G0004090	defense response
ZLC01G0004090	response to fungus
ZLC01G0004090	killing of cells of another organism
ZLC01G0004090	response to virus
ZLC01G0004090	immune response
ZLC01G0004090	response to jasmonic acid
ZLC01G0004090	response to ethylene
ZLC01G0004090	response to salt stress
ZLC01G0004090	chromatin remodeling
ZLC01G0004100	defense response
ZLC01G0004100	response to fungus
ZLC01G0004100	killing of cells of another organism
ZLC01G0004100	response to virus
ZLC01G0004100	immune response
ZLC01G0004100	response to jasmonic acid
ZLC01G0004100	response to ethylene
ZLC01G0004100	response to salt stress
ZLC01G0004100	chromatin remodeling
ZLC01G0004110	defense response
ZLC01G0004110	response to fungus
ZLC01G0004110	killing of cells of another organism
ZLC01G0004110	response to virus
ZLC01G0004110	immune response
ZLC01G0004110	response to jasmonic acid
ZLC01G0004110	response to ethylene
ZLC01G0004110	response to salt stress
ZLC01G0004110	chromatin remodeling
ZLC01G0004120	defense response
ZLC01G0004120	response to fungus
ZLC01G0004120	killing of cells of another organism
ZLC01G0004120	response to virus
ZLC01G0004120	immune response
ZLC01G0004120	response to jasmonic acid
ZLC01G0004120	response to ethylene
ZLC01G0004120	response to salt stress
ZLC01G0004120	chromatin remodeling
ZLC01G0004140	defense response
ZLC01G0004140	response to fungus
ZLC01G0004140	disruption of cell in another organism
ZLC01G0004140	cell killing
ZLC01G0004150	defense response
ZLC01G0004150	response to fungus
ZLC01G0004150	disruption of cell in another organism
ZLC01G0004150	cell killing
ZLC01G0004160	defense response
ZLC01G0004170	defense response
ZLC01G0004170	response to fungus
ZLC01G0004170	killing of cells of another organism
ZLC01G0004170	chromatin remodeling
ZLC01G0004180	green leaf volatile biosynthetic process
ZLC01G0004180	regulation of transcription by RNA polymerase II
ZLC01G0004190	green leaf volatile biosynthetic process
ZLC01G0004190	regulation of transcription by RNA polymerase II
ZLC01G0004200	galactose metabolic process
ZLC01G0004200	cellular process
ZLC01G0004200	carbohydrate biosynthetic process
ZLC01G0004200	polysaccharide metabolic process
ZLC01G0004200	carbohydrate derivative biosynthetic process
ZLC01G0004200	nucleobase-containing small molecule metabolic process
ZLC01G0004200	nucleobase-containing compound biosynthetic process
ZLC01G0004220	regulation of transcription by RNA polymerase II
ZLC01G0004270	DNA-templated DNA replication
ZLC01G0004270	DNA repair
ZLC01G0004270	DNA biosynthetic process
ZLC01G0004280	proteolysis
ZLC01G0004280	cellular process
ZLC01G0004330	regulation of cellular process
ZLC01G0004330	regulation of RNA metabolic process
ZLC01G0004330	regulation of biosynthetic process
ZLC01G0004330	signaling
ZLC01G0004330	cell communication
ZLC01G0004330	cellular response to stimulus
ZLC01G0004330	DNA integration
ZLC01G0004340	fusion of sperm to egg plasma membrane involved in double fertilization forming a zygote and endosperm
ZLC01G0004340	pollen sperm cell differentiation
ZLC01G0004340	pollen tube guidance
ZLC01G0004350	brassinosteroid homeostasis
ZLC01G0004350	brassinosteroid biosynthetic process
ZLC01G0004350	sterol metabolic process
ZLC01G0004350	cellular process
ZLC01G0004350	isoquinoline alkaloid biosynthetic process
ZLC01G0004360	attachment of GPI anchor to protein
ZLC01G0004360	GPI anchor biosynthetic process
ZLC01G0004380	regulation of DNA-templated transcription
ZLC01G0004380	regulation of mitotic cell cycle
ZLC01G0004410	secondary metabolite biosynthetic process
ZLC01G0004410	cellular process
ZLC01G0004420	secondary metabolite biosynthetic process
ZLC01G0004420	cellular process
ZLC01G0004430	secondary metabolite biosynthetic process
ZLC01G0004430	cellular process
ZLC01G0004440	L-arginine biosynthetic process
ZLC01G0004440	primary root development
ZLC01G0004440	defense response to bacterium
ZLC01G0004470	triglyceride biosynthetic process
ZLC01G0004470	lipid modification
ZLC01G0004470	phospholipid biosynthetic process
ZLC01G0004480	protein stabilization
ZLC01G0004490	xenobiotic detoxification by transmembrane export across the plasma membrane
ZLC01G0004500	monosaccharide transmembrane transport
ZLC01G0004520	defense response
ZLC01G0004520	regulation of DNA-templated transcription
ZLC01G0004520	glucosinolate metabolic process
ZLC01G0004520	ethylene-activated signaling pathway
ZLC01G0004540	3'-phosphoadenosine 5'-phosphosulfate transport
ZLC01G0004540	nucleotide transmembrane transport
ZLC01G0004540	purine-containing compound transmembrane transport
ZLC01G0004570	mRNA transport
ZLC01G0004570	intracellular transport
ZLC01G0004570	protein transport
ZLC01G0004570	transmembrane transport
ZLC01G0004580	chloroplast organization
ZLC01G0004580	Group II intron splicing
ZLC01G0004580	photosynthesis
ZLC01G0004580	mitochondrial electron transport, NADH to ubiquinone
ZLC01G0004580	regulation of gene expression
ZLC01G0004580	translational initiation
ZLC01G0004590	mitochondrial electron transport, NADH to ubiquinone
ZLC01G0004600	mRNA processing
ZLC01G0004600	chloroplast-nucleus signaling pathway
ZLC01G0004600	mitochondria-nucleus signaling pathway
ZLC01G0004610	transcription by RNA polymerase V
ZLC01G0004610	transcription by RNA polymerase IV
ZLC01G0004610	plastid transcription
ZLC01G0004610	mitochondrial transcription
ZLC01G0004610	transcription by RNA polymerase I
ZLC01G0004610	transcription by RNA polymerase III
ZLC01G0004610	transcription by RNA polymerase II
ZLC01G0004620	transcription by RNA polymerase V
ZLC01G0004620	transcription by RNA polymerase IV
ZLC01G0004620	plastid transcription
ZLC01G0004620	mitochondrial transcription
ZLC01G0004620	transcription by RNA polymerase I
ZLC01G0004620	transcription by RNA polymerase III
ZLC01G0004620	transcription by RNA polymerase II
ZLC01G0004650	DNA-templated transcription
ZLC01G0004670	transmembrane phosphate ion transport from cytosol to vacuole
ZLC01G0004690	cellular oxidant detoxification
ZLC01G0004700	farnesyl diphosphate biosynthetic process, mevalonate pathway
ZLC01G0004700	sterol biosynthetic process
ZLC01G0004700	acetyl-CoA metabolic process
ZLC01G0004710	farnesyl diphosphate biosynthetic process, mevalonate pathway
ZLC01G0004710	acetyl-CoA metabolic process
ZLC01G0004710	sterol biosynthetic process
ZLC01G0004720	regulation of DNA-templated transcription
ZLC01G0004730	S-adenosylmethionine biosynthetic process
ZLC01G0004730	UDP-rhamnose metabolic process
ZLC01G0004730	dTDP-rhamnose biosynthetic process
ZLC01G0004740	phospholipid catabolic process
ZLC01G0004740	phosphatidylcholine metabolic process
ZLC01G0004740	defense response to bacterium
ZLC01G0004750	regulation of DNA-templated transcription
ZLC01G0004760	protein K48-linked deubiquitination
ZLC01G0004760	cellular process
ZLC01G0004770	positive regulation of transcription by RNA polymerase II
ZLC01G0004770	regulation of flower development
ZLC01G0004780	chlorophyll catabolic process
ZLC01G0004780	cellular process
ZLC01G0004780	positive regulation of transcription by RNA polymerase II
ZLC01G0004800	positive regulation of anaphase-promoting complex-dependent catabolic process
ZLC01G0004800	anaphase-promoting complex-dependent catabolic process
ZLC01G0004800	cell division
ZLC01G0004800	positive regulation of cellular process
ZLC01G0004800	protein ubiquitination
ZLC01G0004820	plant-type cell wall organization
ZLC01G0004820	anatomical structure morphogenesis
ZLC01G0004830	photosynthetic electron transport in photosystem I
ZLC01G0004840	flavonoid biosynthetic process
ZLC01G0004840	coumarin biosynthetic process
ZLC01G0004840	response to molecule of fungal origin
ZLC01G0004840	cellular process
ZLC01G0004840	anthocyanin-containing compound metabolic process
ZLC01G0004840	pigmentation
ZLC01G0004840	pigment biosynthetic process
ZLC01G0004860	response to wounding
